C:\Users\TDEVERA2\libiio>iio_attr -u ip:192.168.2.1 -c ad9361-phy .
dev 'ad9361-phy', channel 'altvoltage1' (output), id 'TX_LO', attr 'external', value '0'
dev 'ad9361-phy', channel 'altvoltage1' (output), id 'TX_LO', attr 'fastlock_load', value '0'
dev 'ad9361-phy', channel 'altvoltage1' (output), id 'TX_LO', attr 'fastlock_recall', ERROR: Invalid argument (22)
dev 'ad9361-phy', channel 'altvoltage1' (output), id 'TX_LO', attr 'fastlock_save', value '0 72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72'
dev 'ad9361-phy', channel 'altvoltage1' (output), id 'TX_LO', attr 'fastlock_store', value '0'
dev 'ad9361-phy', channel 'altvoltage1' (output), id 'TX_LO', attr 'frequency', value '2450000000'
dev 'ad9361-phy', channel 'altvoltage1' (output), id 'TX_LO', attr 'frequency_available', value '[46875001 1 6000000000]'
dev 'ad9361-phy', channel 'altvoltage1' (output), id 'TX_LO', attr 'powerdown', value '0'
dev 'ad9361-phy', channel 'voltage1' (output), attr 'filter_fir_en', value '0'
dev 'ad9361-phy', channel 'voltage1' (output), attr 'hardwaregain', value '-10.000000 dB'
dev 'ad9361-phy', channel 'voltage1' (output), attr 'hardwaregain_available', value '[-89.750000 0.250000 0.000000]'
dev 'ad9361-phy', channel 'voltage1' (output), attr 'rf_bandwidth', value '18000000'
dev 'ad9361-phy', channel 'voltage1' (output), attr 'rf_bandwidth_available', value '[200000 1 40000000]'
dev 'ad9361-phy', channel 'voltage1' (output), attr 'rf_port_select', value 'A'
dev 'ad9361-phy', channel 'voltage1' (output), attr 'rf_port_select_available', value 'A B'
dev 'ad9361-phy', channel 'voltage1' (output), attr 'rssi', value '0.00 dB'
dev 'ad9361-phy', channel 'voltage1' (output), attr 'sampling_frequency', value '30720000'
dev 'ad9361-phy', channel 'voltage1' (output), attr 'sampling_frequency_available', value '[2083333 1 30720000]'
dev 'ad9361-phy', channel 'voltage0' (input), attr 'bb_dc_offset_tracking_en', value '1'
dev 'ad9361-phy', channel 'voltage0' (input), attr 'filter_fir_en', value '0'
dev 'ad9361-phy', channel 'voltage0' (input), attr 'gain_control_mode', value 'slow_attack'
dev 'ad9361-phy', channel 'voltage0' (input), attr 'gain_control_mode_available', value 'manual fast_attack slow_attack hybrid'
dev 'ad9361-phy', channel 'voltage0' (input), attr 'hardwaregain', value '71.000000 dB'
dev 'ad9361-phy', channel 'voltage0' (input), attr 'hardwaregain_available', value '[-3 1 71]'
dev 'ad9361-phy', channel 'voltage0' (input), attr 'quadrature_tracking_en', value '1'
dev 'ad9361-phy', channel 'voltage0' (input), attr 'rf_bandwidth', value '18000000'
